,Start Date,Start Price,End Date,End Price,Weekly Returns,Bin Label,News,Basics
0,2023-01-01,16625.080078125,2023-01-08,17091.14453125,0.028033817036360542,U3,[],{}
1,2023-01-08,17091.14453125,2023-01-15,20880.798828125,0.2217320373100744,U5+,[],{}
2,2023-01-15,20880.798828125,2023-01-22,22720.416015625,0.08810090086314903,U5+,[],{}
3,2023-01-22,22720.416015625,2023-01-29,23774.56640625,0.046396614828709604,U5,[],{}
4,2023-01-29,23774.56640625,2023-02-05,22955.666015625,-0.034444388033496254,D4,[],{}
5,2023-02-05,22955.666015625,2023-02-12,21788.203125,-0.05085728681669943,D5+,[],{}
6,2023-02-12,21788.203125,2023-02-19,24327.642578125,0.11655111890393677,U5+,[],{}
7,2023-02-19,24327.642578125,2023-02-26,23561.212890625,-0.03150447829207914,D4,[],{}
8,2023-02-26,23561.212890625,2023-03-05,22435.513671875,-0.04777764302609033,D5,[],{}
9,2023-03-05,22435.513671875,2023-03-12,22163.94921875,-0.012104222666648012,D2,[],{}
10,2023-03-12,22163.94921875,2023-03-19,28038.67578125,0.2650577523219628,U5+,[],{}
11,2023-03-19,28038.67578125,2023-03-26,27994.330078125,-0.0015815904956059113,D1,[],{}
12,2023-03-26,27994.330078125,2023-04-02,28199.30859375,0.007322143986048468,U1,[],{}
13,2023-04-02,28199.30859375,2023-04-09,28333.05078125,0.0047427470448564435,U1,[],{}
14,2023-04-09,28333.05078125,2023-04-16,30315.35546875,0.0699643925677016,U5+,[],{}
15,2023-04-16,30315.35546875,2023-04-23,27591.384765625,-0.08985448664565232,D5+,[],{}
16,2023-04-23,27591.384765625,2023-04-30,29268.806640625,0.06079513185905161,U5+,[],{}
17,2023-04-30,29268.806640625,2023-05-07,28454.978515625,-0.02780530600350506,D3,[],{}
18,2023-05-07,28454.978515625,2023-05-14,26930.638671875,-0.053570233515128685,D5+,[],{}
19,2023-05-14,26930.638671875,2023-05-21,26753.826171875,-0.0065654774160500695,D1,[],{}
20,2023-05-21,26753.826171875,2023-05-28,28085.646484375,0.04978055489872624,U5,[],{}
21,2023-05-28,28085.646484375,2023-06-04,27119.06640625,-0.03441544700289312,D4,[],{}
22,2023-06-04,27119.06640625,2023-06-11,25940.16796875,-0.043471202874015735,D5,[],{}
23,2023-06-11,25940.16796875,2023-06-18,26336.212890625,0.015267631356593814,U2,[],{}
24,2023-06-18,26336.212890625,2023-06-25,30480.26171875,0.15735173638424582,U5+,[],{}
25,2023-06-25,30480.26171875,2023-07-02,30620.76953125,0.0046097967857527955,U1,[],{}
26,2023-07-02,30620.76953125,2023-07-09,30171.234375,-0.014680726942254863,D2,[],{}
27,2023-07-09,30171.234375,2023-07-16,30249.1328125,0.0025818777094697154,U1,[],{}
28,2023-07-16,30249.1328125,2023-07-23,30084.5390625,-0.0054412716893484925,D1,[],{}
29,2023-07-23,30084.5390625,2023-07-30,29275.30859375,-0.02689854968589811,D3,[],{}
30,2023-07-30,29275.30859375,2023-08-06,29041.85546875,-0.007974403557605592,D1,[],{}
31,2023-08-06,29041.85546875,2023-08-13,29282.9140625,0.008300385421633472,U1,[],{}
32,2023-08-13,29282.9140625,2023-08-20,26189.583984375,-0.10563600574460419,D5+,[],{}
