,Start Date,Start Price,End Date,End Price,Weekly Returns,Bin Label,News,Basics
0,2023-01-01,4.370816230773926,2023-01-08,4.801004886627197,0.09842295652340871,U5+,[],{}
1,2023-01-08,4.801004886627197,2023-01-15,5.928098201751709,0.23476195957724122,U5+,[],{}
2,2023-01-15,5.928098201751709,2023-01-22,6.205265998840332,0.04675492673294812,U5,[],{}
3,2023-01-22,6.205265998840332,2023-01-29,6.615758895874023,0.06615234497770217,U5+,[],{}
4,2023-01-29,6.615758895874023,2023-02-05,6.644723892211914,0.0043781819733417215,U1,[],{}
5,2023-02-05,6.644723892211914,2023-02-12,6.176514148712158,-0.07046338585242506,D5+,[],{}
6,2023-02-12,6.176514148712158,2023-02-19,7.443704128265381,0.2051626449876165,U5+,[],{}
7,2023-02-19,7.443704128265381,2023-02-26,6.689603805541992,-0.1013071328103845,D5+,[],{}
8,2023-02-26,6.689603805541992,2023-03-05,5.980068206787109,-0.10606541424277904,D5+,[],{}
9,2023-03-05,5.980068206787109,2023-03-12,5.916477203369141,-0.010633825772387695,D2,[],{}
10,2023-03-12,5.916477203369141,2023-03-19,6.470154762268066,0.09358230241868148,U5+,[],{}
11,2023-03-19,6.470154762268066,2023-03-26,6.052051067352295,-0.06462035457853688,D5+,[],{}
12,2023-03-26,6.052051067352295,2023-04-02,6.267229080200195,0.03555456000837065,U4,[],{}
13,2023-04-02,6.267229080200195,2023-04-09,6.216215133666992,-0.008139792862266626,D1,[],{}
14,2023-04-09,6.216215133666992,2023-04-16,6.833064079284668,0.09923223896753908,U5+,[],{}
15,2023-04-16,6.833064079284668,2023-04-23,5.917685031890869,-0.13396318793041773,D5+,[],{}
16,2023-04-23,5.917685031890869,2023-04-30,5.901270866394043,-0.0027737477422959955,D1,[],{}
17,2023-04-30,5.901270866394043,2023-05-07,5.641276836395264,-0.04405729475651876,D5,[],{}
18,2023-05-07,5.641276836395264,2023-05-14,5.354409217834473,-0.05085154068490949,D5+,[],{}
19,2023-05-14,5.354409217834473,2023-05-21,5.273439884185791,-0.015121992054508815,D2,[],{}
20,2023-05-21,5.273439884185791,2023-05-28,5.508674144744873,0.044607365538481325,U5,[],{}
21,2023-05-28,5.508674144744873,2023-06-04,5.319441795349121,-0.034351705042541814,D4,[],{}
22,2023-06-04,5.319441795349121,2023-06-11,4.521618843078613,-0.1499824573638644,D5+,[],{}
23,2023-06-11,4.521618843078613,2023-06-18,4.530962944030762,0.0020665388385072703,U1,[],{}
24,2023-06-18,4.530962944030762,2023-06-25,5.194805145263672,0.14651238808021527,U5+,[],{}
25,2023-06-25,5.194805145263672,2023-07-02,5.501914978027344,0.05911864337080619,U5+,[],{}
26,2023-07-02,5.501914978027344,2023-07-09,5.079419136047363,-0.07679068899960761,D5+,[],{}
27,2023-07-09,5.079419136047363,2023-07-16,5.306897163391113,0.04478426002087432,U5,[],{}
28,2023-07-16,5.306897163391113,2023-07-23,5.397666931152344,0.017104112811417105,U2,[],{}
29,2023-07-23,5.397666931152344,2023-07-30,5.186025142669678,-0.039209864406635875,D4,[],{}
30,2023-07-30,5.186025142669678,2023-08-06,4.998167037963867,-0.03622390935981934,D4,[],{}
31,2023-08-06,4.998167037963867,2023-08-13,4.986302852630615,-0.0023737072497050926,D1,[],{}
32,2023-08-13,4.986302852630615,2023-08-20,4.519974231719971,-0.09352192088866496,D5+,[],{}
33,2023-08-20,4.519974231719971,2023-08-27,4.4923930168151855,-0.0061020734833459045,D1,[],{}
34,2023-08-27,4.4923930168151855,2023-09-03,4.261632919311523,-0.05136685428899901,D5+,[],{}
35,2023-09-03,4.261632919311523,2023-09-10,4.151950836181641,-0.025737102469070017,D3,[],{}
36,2023-09-10,4.151950836181641,2023-09-17,4.0745978355407715,-0.018630519409523427,D2,[],{}
37,2023-09-17,4.0745978355407715,2023-09-24,3.9901950359344482,-0.020714387778376087,D3,[],{}
38,2023-09-24,3.9901950359344482,2023-10-01,4.261009216308594,0.06786991060218295,U5+,[],{}
39,2023-10-01,4.261009216308594,2023-10-08,4.014286041259766,-0.05790252086395853,D5+,"[{""date"": ""20231007203000"", ""headline"": ""VanEck Monthly Crypto Recap For September 2023"", ""summary"": ""Digital assets outperformed other risk assets in September for the first time since May. Among tokens, large-caps\u00e2\u0080\u0099 outperformance surged to all-time highs vs. small-caps.""}]",{}
40,2023-10-08,4.014286041259766,2023-10-15,3.7549779415130615,-0.064596318518779,D5+,"[{""date"": ""20231007203000"", ""headline"": ""VanEck Monthly Crypto Recap For September 2023"", ""summary"": ""Digital assets outperformed other risk assets in September for the first time since May. Among tokens, large-caps\u00e2\u0080\u0099 outperformance surged to all-time highs vs. small-caps.""}, {""date"": ""20231011063039"", ""headline"": ""BITW: A Simpler Approach To Crypto Diversification"", ""summary"": ""The Bitwise 10 Crypto Index Fund aims to provide investors with exposure to 10 different cryptocurrencies in one fund. Read more here.""}]",{}
41,2023-10-15,3.7549779415130615,2023-10-22,3.9647159576416016,0.055855991538535266,U5+,[],{}
42,2023-10-22,3.9647159576416016,2023-10-29,4.3125457763671875,0.08773133370504849,U5+,[],{}
43,2023-10-29,4.3125457763671875,2023-11-05,4.773220062255859,0.10682188892073308,U5+,[],{}
44,2023-11-05,4.773220062255859,2023-11-12,5.707890033721924,0.19581539490645916,U5+,"[{""date"": ""20231111040000"", ""headline"": ""VanEck Crypto Monthly Recap For October 2023"", ""summary"": ""Amidst the sharp sell-off in U.S. government debt, Bitcoin\u00e2\u0080\u0099s performance is gaining newfound attention. Click here to read more in VanEck's Crypto Monthly Recap.""}]",{}
45,2023-11-12,5.707890033721924,2023-11-19,5.444248199462891,-0.04618901778090512,D5,[],{}
46,2023-11-19,5.444248199462891,2023-11-26,5.32512903213501,-0.021879819391708244,D3,[],{}
47,2023-11-26,5.32512903213501,2023-12-03,5.54657506942749,0.041585102624958514,U5,[],{}
48,2023-12-03,5.54657506942749,2023-12-10,7.3415751457214355,0.32362314650493373,U5+,"[{""date"": ""20231209014500"", ""headline"": ""VanEck's 15 Crypto Predictions For 2024"", ""summary"": ""Step into the realm of speculation with us as we embark on a whimsical journey into the future of crypto and outline our top 15 Crypto Predictions for 2024.""}]",{}
49,2023-12-10,7.3415751457214355,2023-12-17,6.792212963104248,-0.0748289259066357,D5+,"[{""date"": ""20231211063629"", ""headline"": ""Bitwise 10 Crypto Index Fund: Another U.S. Listed Crypto Arbitrage Building Block"", ""summary"": ""Bitwise 10 Crypto Index Fund is a CEF holding major cryptocurrencies, tradeable at a discounted price for savvy investors. Find out my analysis of BITW stock.""}]",{}
50,2023-12-17,6.792212963104248,2023-12-24,8.647969245910645,0.2732182122214053,U5+,[],{}
51,2023-12-24,8.647969245910645,2023-12-31,8.37086296081543,-0.032042931376779604,D4,[],{}
