,Start Date,Start Price,End Date,End Price,Weekly Returns,Bin Label,News,Basics
0,2023-01-08,260.24468994140625,2023-01-15,256.9632873535156,-0.01260891274526843,D2,[],{}
1,2023-01-15,256.9632873535156,2023-01-22,248.93460083007812,-0.03124448868212093,D4,[],{}
2,2023-01-22,248.93460083007812,2023-01-29,239.8657684326172,-0.03643058203729299,D4,[],{}
3,2023-01-29,239.8657684326172,2023-02-05,231.8466033935547,-0.033431886056368376,D4,[],{}
4,2023-02-05,231.8466033935547,2023-02-12,229.3217010498047,-0.010890400406099676,D2,[],{}
5,2023-02-12,229.3217010498047,2023-02-19,229.46466064453125,0.0006234019461399676,U1,[],{}
6,2023-02-19,229.46466064453125,2023-02-26,222.91070556640625,-0.028561936551432132,D3,[],{}
7,2023-02-26,222.91070556640625,2023-03-05,224.00779724121094,0.00492166435890562,U1,[],{}
8,2023-03-05,224.00779724121094,2023-03-12,217.3870849609375,-0.02955572244275173,D3,[],{}
9,2023-03-12,217.3870849609375,2023-03-19,219.21875,0.008425822717994746,U1,[],{}
10,2023-03-19,219.21875,2023-03-26,227.0796661376953,0.03585877639433366,U4,[],{}
11,2023-03-26,227.0796661376953,2023-04-02,230.62852478027344,0.015628253744332188,U2,[],"{""assetTurnoverTTM"": 0.3784, ""bookValue"": 5348, ""cashRatio"": 2.2201899402040097, ""currentRatio"": 3.1448, ""ebitPerShare"": 3.7807, ""eps"": 5.2807, ""ev"": 159129.5, ""fcfMargin"": 0.1179, ""fcfPerShareTTM"": 14.103, ""grossMargin"": 0.7245, ""inventoryTurnoverTTM"": 1.3855, ""longtermDebtTotalAsset"": 0.6849, ""longtermDebtTotalCapital"": 0.9077, ""longtermDebtTotalEquity"": 11.3614, ""netDebtToTotalCapital"": 0.4487, ""netDebtToTotalEquity"": 5.6161, ""netMargin"": 0.4654, ""operatingMargin"": 0.3332, ""payoutRatioTTM"": 0.5372, ""pb"": 24.1388, ""peTTM"": 16.306, ""pfcfTTM"": 17.1417, ""pretaxMargin"": 0.5638, ""psTTM"": 4.9292, ""quickRatio"": 2.7923, ""receivablesTurnoverTTM"": 4.8442, ""roaTTM"": 0.1144, ""roeTTM"": 2.0999, ""roicTTM"": 0.1659, ""rotcTTM"": 0.1924, ""salesPerShare"": 11.3476, ""sgaToSale"": 0.2755, ""totalDebtToEquity"": 11.5174, ""totalDebtToTotalAsset"": 0.6943, ""totalDebtToTotalCapital"": 0.9201, ""totalRatio"": 1.0641, ""period"": ""2023-03-31""}"
12,2023-04-02,230.62852478027344,2023-04-09,241.66629028320312,0.04785949835756731,U5,[],"{""assetTurnoverTTM"": 0.3784, ""bookValue"": 5348, ""cashRatio"": 2.2201899402040097, ""currentRatio"": 3.1448, ""ebitPerShare"": 3.7807, ""eps"": 5.2807, ""ev"": 159129.5, ""fcfMargin"": 0.1179, ""fcfPerShareTTM"": 14.103, ""grossMargin"": 0.7245, ""inventoryTurnoverTTM"": 1.3855, ""longtermDebtTotalAsset"": 0.6849, ""longtermDebtTotalCapital"": 0.9077, ""longtermDebtTotalEquity"": 11.3614, ""netDebtToTotalCapital"": 0.4487, ""netDebtToTotalEquity"": 5.6161, ""netMargin"": 0.4654, ""operatingMargin"": 0.3332, ""payoutRatioTTM"": 0.5372, ""pb"": 24.1388, ""peTTM"": 16.306, ""pfcfTTM"": 17.1417, ""pretaxMargin"": 0.5638, ""psTTM"": 4.9292, ""quickRatio"": 2.7923, ""receivablesTurnoverTTM"": 4.8442, ""roaTTM"": 0.1144, ""roeTTM"": 2.0999, ""roicTTM"": 0.1659, ""rotcTTM"": 0.1924, ""salesPerShare"": 11.3476, ""sgaToSale"": 0.2755, ""totalDebtToEquity"": 11.5174, ""totalDebtToTotalAsset"": 0.6943, ""totalDebtToTotalCapital"": 0.9201, ""totalRatio"": 1.0641, ""period"": ""2023-03-31""}"
13,2023-04-09,241.66629028320312,2023-04-16,238.49900817871094,-0.013106015327088105,D2,[],"{""assetTurnoverTTM"": 0.3784, ""bookValue"": 5348, ""cashRatio"": 2.2201899402040097, ""currentRatio"": 3.1448, ""ebitPerShare"": 3.7807, ""eps"": 5.2807, ""ev"": 159129.5, ""fcfMargin"": 0.1179, ""fcfPerShareTTM"": 14.103, ""grossMargin"": 0.7245, ""inventoryTurnoverTTM"": 1.3855, ""longtermDebtTotalAsset"": 0.6849, ""longtermDebtTotalCapital"": 0.9077, ""longtermDebtTotalEquity"": 11.3614, ""netDebtToTotalCapital"": 0.4487, ""netDebtToTotalEquity"": 5.6161, ""netMargin"": 0.4654, ""operatingMargin"": 0.3332, ""payoutRatioTTM"": 0.5372, ""pb"": 24.1388, ""peTTM"": 16.306, ""pfcfTTM"": 17.1417, ""pretaxMargin"": 0.5638, ""psTTM"": 4.9292, ""quickRatio"": 2.7923, ""receivablesTurnoverTTM"": 4.8442, ""roaTTM"": 0.1144, ""roeTTM"": 2.0999, ""roicTTM"": 0.1659, ""rotcTTM"": 0.1924, ""salesPerShare"": 11.3476, ""sgaToSale"": 0.2755, ""totalDebtToEquity"": 11.5174, ""totalDebtToTotalAsset"": 0.6943, ""totalDebtToTotalCapital"": 0.9201, ""totalRatio"": 1.0641, ""period"": ""2023-03-31""}"
14,2023-04-16,238.49900817871094,2023-04-23,232.64146423339844,-0.024560034819613774,D3,[],{}
15,2023-04-23,232.64146423339844,2023-04-30,228.71102905273438,-0.016894817927731176,D2,[],{}
16,2023-04-30,228.71102905273438,2023-05-07,225.648681640625,-0.013389592206343837,D2,[],{}
17,2023-05-07,225.648681640625,2023-05-14,222.23336791992188,-0.01513553589531913,D2,[],{}
