,Start Date,Start Price,End Date,End Price,Weekly Returns,Bin Label,News,Basics
0,2023-01-08,303.1353454589844,2023-01-15,316.1951599121094,0.04308245359296792,U5,[],{}
1,2023-01-15,316.1951599121094,2023-01-22,300.7200012207031,-0.04894179498417295,D5,[],{}
2,2023-01-22,300.7200012207031,2023-01-29,302.3333740234375,0.0053650332408394785,U1,[],{}
3,2023-01-29,302.3333740234375,2023-02-05,316.47198486328125,0.04676496892052584,U5,[],"{""assetTurnoverTTM"": 2.0596, ""bookValue"": 1562, ""cashRatio"": 0.11929900475984423, ""currentRatio"": 1.4051, ""ebitPerShare"": 4.6772, ""eps"": 3.3091, ""ev"": 360705, ""fcfMargin"": 0.103, ""fcfPerShareTTM"": 11.315, ""grossMargin"": 0.3328, ""inventoryTurnoverTTM"": 4.4565, ""longtermDebtTotalAsset"": 0.509, ""longtermDebtTotalCapital"": 0.8694, ""longtermDebtTotalEquity"": 24.9091, ""netDebtToTotalCapital"": 0.9035, ""netDebtToTotalEquity"": 25.8873, ""netMargin"": 0.0938, ""operatingMargin"": 0.1326, ""payoutRatioTTM"": 0.4554, ""pb"": 205.0378, ""peTTM"": 18.7237, ""pfcfTTM"": 27.8592, ""pretaxMargin"": 0.1212, ""psTTM"": 2.0347, ""quickRatio"": 0.3282, ""receivablesTurnoverTTM"": 46.6863, ""roaTTM"": 0.2238, ""roeTTM"": 12.4708, ""roicTTM"": 0.2964, ""rotcTTM"": 0.417, ""salesPerShare"": 35.2667, ""sgaToSale"": 0.6672, ""totalDebtToEquity"": 27.6524, ""totalDebtToTotalAsset"": 0.565, ""totalDebtToTotalCapital"": 0.9651, ""totalRatio"": 1.0209, ""period"": ""2023-01-29""}"
4,2023-02-05,316.47198486328125,2023-02-12,302.1902160644531,-0.04512806656487456,D5,[],"{""assetTurnoverTTM"": 2.0596, ""bookValue"": 1562, ""cashRatio"": 0.11929900475984423, ""currentRatio"": 1.4051, ""ebitPerShare"": 4.6772, ""eps"": 3.3091, ""ev"": 360705, ""fcfMargin"": 0.103, ""fcfPerShareTTM"": 11.315, ""grossMargin"": 0.3328, ""inventoryTurnoverTTM"": 4.4565, ""longtermDebtTotalAsset"": 0.509, ""longtermDebtTotalCapital"": 0.8694, ""longtermDebtTotalEquity"": 24.9091, ""netDebtToTotalCapital"": 0.9035, ""netDebtToTotalEquity"": 25.8873, ""netMargin"": 0.0938, ""operatingMargin"": 0.1326, ""payoutRatioTTM"": 0.4554, ""pb"": 205.0378, ""peTTM"": 18.7237, ""pfcfTTM"": 27.8592, ""pretaxMargin"": 0.1212, ""psTTM"": 2.0347, ""quickRatio"": 0.3282, ""receivablesTurnoverTTM"": 46.6863, ""roaTTM"": 0.2238, ""roeTTM"": 12.4708, ""roicTTM"": 0.2964, ""rotcTTM"": 0.417, ""salesPerShare"": 35.2667, ""sgaToSale"": 0.6672, ""totalDebtToEquity"": 27.6524, ""totalDebtToTotalAsset"": 0.565, ""totalDebtToTotalCapital"": 0.9651, ""totalRatio"": 1.0209, ""period"": ""2023-01-29""}"
5,2023-02-12,302.1902160644531,2023-02-19,303.5362854003906,0.00445437762171097,U1,[],"{""assetTurnoverTTM"": 2.0596, ""bookValue"": 1562, ""cashRatio"": 0.11929900475984423, ""currentRatio"": 1.4051, ""ebitPerShare"": 4.6772, ""eps"": 3.3091, ""ev"": 360705, ""fcfMargin"": 0.103, ""fcfPerShareTTM"": 11.315, ""grossMargin"": 0.3328, ""inventoryTurnoverTTM"": 4.4565, ""longtermDebtTotalAsset"": 0.509, ""longtermDebtTotalCapital"": 0.8694, ""longtermDebtTotalEquity"": 24.9091, ""netDebtToTotalCapital"": 0.9035, ""netDebtToTotalEquity"": 25.8873, ""netMargin"": 0.0938, ""operatingMargin"": 0.1326, ""payoutRatioTTM"": 0.4554, ""pb"": 205.0378, ""peTTM"": 18.7237, ""pfcfTTM"": 27.8592, ""pretaxMargin"": 0.1212, ""psTTM"": 2.0347, ""quickRatio"": 0.3282, ""receivablesTurnoverTTM"": 46.6863, ""roaTTM"": 0.2238, ""roeTTM"": 12.4708, ""roicTTM"": 0.2964, ""rotcTTM"": 0.417, ""salesPerShare"": 35.2667, ""sgaToSale"": 0.6672, ""totalDebtToEquity"": 27.6524, ""totalDebtToTotalAsset"": 0.565, ""totalDebtToTotalCapital"": 0.9651, ""totalRatio"": 1.0209, ""period"": ""2023-01-29""}"
6,2023-02-19,303.5362854003906,2023-02-26,283.21142578125,-0.06696023044602517,D5+,[],{}
7,2023-02-26,283.21142578125,2023-03-05,284.9202575683594,0.006033767113722499,U1,[],{}
8,2023-03-05,284.9202575683594,2023-03-12,275.3099670410156,-0.03372975515803056,D4,[],{}
9,2023-03-12,275.3099670410156,2023-03-19,277.3100891113281,0.007264982418942134,U1,[],{}
