,Start Date,Start Price,End Date,End Price,Weekly Returns,Bin Label,News,Basics
0,2023-01-08,186.9171905517578,2023-01-15,186.96539306640625,0.00025788165607543156,U1,[],{}
1,2023-01-15,186.96539306640625,2023-01-22,178.6834716796875,-0.04429654734968613,D5,[],{}
2,2023-01-22,178.6834716796875,2023-01-29,181.99044799804688,0.018507455039196596,U2,[],{}
3,2023-01-29,181.99044799804688,2023-02-05,176.20562744140625,-0.031786396595401056,D4,[],{}
4,2023-02-05,176.20562744140625,2023-02-12,180.0525360107422,0.02183192798774347,U3,[],{}
5,2023-02-12,180.0525360107422,2023-02-19,179.08840942382812,-0.005354695958609268,D1,[],{}
6,2023-02-19,179.08840942382812,2023-02-26,178.6834716796875,-0.002261105257695961,D1,[],{}
7,2023-02-26,178.6834716796875,2023-03-05,177.00587463378906,-0.009388652627623784,D1,[],{}
8,2023-03-05,177.00587463378906,2023-03-12,170.2703094482422,-0.0380527776238061,D4,[],{}
9,2023-03-12,170.2703094482422,2023-03-19,159.94827270507812,-0.060621471685888384,D5+,[],{}
10,2023-03-19,159.94827270507812,2023-03-26,159.8319549560547,-0.0007272210387536671,D1,[],{}
11,2023-03-26,159.8319549560547,2023-04-02,166.13180541992188,0.03941546273146268,U4,[],"{""bookValue"": 23052, ""cashRatio"": 0.20634920634920634, ""ev"": 46120.71, ""fcfPerShareTTM"": 26.8874, ""longtermDebtTotalAsset"": 0.0608, ""longtermDebtTotalCapital"": 0.237, ""longtermDebtTotalEquity"": 0.312, ""netDebtToTotalCapital"": 0.215, ""netDebtToTotalEquity"": 0.2831, ""payoutRatioTTM"": 0.3133, ""pb"": 1.7177, ""peTTM"": 14.1464, ""pfcfTTM"": 6.3751, ""ptbv"": 1.7392, ""roaTTM"": 0.0241, ""roeTTM"": 0.1281, ""roicTTM"": 0.0961, ""rotcTTM"": 0.1189, ""tangibleBookValue"": 22767, ""totalDebtToEquity"": 0.3163, ""totalDebtToTotalAsset"": 0.0616, ""totalDebtToTotalCapital"": 0.2403, ""totalRatio"": 1.2419, ""period"": ""2023-03-31""}"
12,2023-04-02,166.13180541992188,2023-04-09,165.9961395263672,-0.0008166160189000404,D1,[],"{""bookValue"": 23052, ""cashRatio"": 0.20634920634920634, ""ev"": 46120.71, ""fcfPerShareTTM"": 26.8874, ""longtermDebtTotalAsset"": 0.0608, ""longtermDebtTotalCapital"": 0.237, ""longtermDebtTotalEquity"": 0.312, ""netDebtToTotalCapital"": 0.215, ""netDebtToTotalEquity"": 0.2831, ""payoutRatioTTM"": 0.3133, ""pb"": 1.7177, ""peTTM"": 14.1464, ""pfcfTTM"": 6.3751, ""ptbv"": 1.7392, ""roaTTM"": 0.0241, ""roeTTM"": 0.1281, ""roicTTM"": 0.0961, ""rotcTTM"": 0.1189, ""tangibleBookValue"": 22767, ""totalDebtToEquity"": 0.3163, ""totalDebtToTotalAsset"": 0.0616, ""totalDebtToTotalCapital"": 0.2403, ""totalRatio"": 1.2419, ""period"": ""2023-03-31""}"
13,2023-04-09,165.9961395263672,2023-04-16,163.18540954589844,-0.016932502096064006,D2,[],"{""bookValue"": 23052, ""cashRatio"": 0.20634920634920634, ""ev"": 46120.71, ""fcfPerShareTTM"": 26.8874, ""longtermDebtTotalAsset"": 0.0608, ""longtermDebtTotalCapital"": 0.237, ""longtermDebtTotalEquity"": 0.312, ""netDebtToTotalCapital"": 0.215, ""netDebtToTotalEquity"": 0.2831, ""payoutRatioTTM"": 0.3133, ""pb"": 1.7177, ""peTTM"": 14.1464, ""pfcfTTM"": 6.3751, ""ptbv"": 1.7392, ""roaTTM"": 0.0241, ""roeTTM"": 0.1281, ""roicTTM"": 0.0961, ""rotcTTM"": 0.1189, ""tangibleBookValue"": 22767, ""totalDebtToEquity"": 0.3163, ""totalDebtToTotalAsset"": 0.0616, ""totalDebtToTotalCapital"": 0.2403, ""totalRatio"": 1.2419, ""period"": ""2023-03-31""}"
14,2023-04-16,163.18540954589844,2023-04-23,173.97268676757812,0.06610442227462499,U5+,[],{}
15,2023-04-23,173.97268676757812,2023-04-30,175.56219482421875,0.009136537959916424,U1,[],{}
16,2023-04-30,175.56219482421875,2023-05-07,176.6864776611328,0.006403900555240538,U1,[],{}
17,2023-05-07,176.6864776611328,2023-05-14,176.48292541503906,-0.0011520533364423047,D1,[],{}
18,2023-05-14,176.48292541503906,2023-05-21,178.06272888183594,0.008951593833123495,U1,[],{}
19,2023-05-21,178.06272888183594,2023-05-28,166.9846954345703,-0.06221421808388161,D5+,[],{}
20,2023-05-28,166.9846954345703,2023-06-04,169.73727416992188,0.01648401806038624,U2,[],{}
21,2023-06-04,169.73727416992188,2023-06-11,171.16653442382812,0.008420426573337414,U1,[],{}
22,2023-06-11,171.16653442382812,2023-06-18,172.28749084472656,0.006548922805919677,U1,[],{}
23,2023-06-18,172.28749084472656,2023-06-25,169.333984375,-0.017142895605743114,D2,[],{}
24,2023-06-25,169.333984375,2023-07-02,169.27552795410156,-0.00034521375679075206,D1,[],"{""bookValue"": 21855, ""cashRatio"": 0.16951527038386102, ""ev"": 47176.773, ""fcfPerShareTTM"": 27.8943, ""longtermDebtTotalAsset"": 0.0658, ""longtermDebtTotalCapital"": 0.2654, ""longtermDebtTotalEquity"": 0.3629, ""netDebtToTotalCapital"": 0.2485, ""netDebtToTotalEquity"": 0.3398, ""pb"": 1.8188, ""peTTM"": 17.7935, ""pfcfTTM"": 6.2256, ""ptbv"": 1.8427, ""roaTTM"": 0.0191, ""roeTTM"": 0.1035, ""roicTTM"": 0.0768, ""rotcTTM"": 0.095, ""tangibleBookValue"": 21572, ""totalDebtToEquity"": 0.3675, ""totalDebtToTotalAsset"": 0.0666, ""totalDebtToTotalCapital"": 0.2687, ""totalRatio"": 1.2214, ""period"": ""2023-06-30""}"
25,2023-07-02,169.27552795410156,2023-07-09,167.31622314453125,-0.011574648936269027,D2,[],"{""bookValue"": 21855, ""cashRatio"": 0.16951527038386102, ""ev"": 47176.773, ""fcfPerShareTTM"": 27.8943, ""longtermDebtTotalAsset"": 0.0658, ""longtermDebtTotalCapital"": 0.2654, ""longtermDebtTotalEquity"": 0.3629, ""netDebtToTotalCapital"": 0.2485, ""netDebtToTotalEquity"": 0.3398, ""pb"": 1.8188, ""peTTM"": 17.7935, ""pfcfTTM"": 6.2256, ""ptbv"": 1.8427, ""roaTTM"": 0.0191, ""roeTTM"": 0.1035, ""roicTTM"": 0.0768, ""rotcTTM"": 0.095, ""tangibleBookValue"": 21572, ""totalDebtToEquity"": 0.3675, ""totalDebtToTotalAsset"": 0.0666, ""totalDebtToTotalCapital"": 0.2687, ""totalRatio"": 1.2214, ""period"": ""2023-06-30""}"
