,Start Date,Start Price,End Date,End Price,Weekly Returns,Bin Label,News,Basics
0,2023-01-08,477.1138000488281,2023-01-15,476.6950988769531,-0.0008775708684849448,D1,[],{}
1,2023-01-15,476.6950988769531,2023-01-22,473.9200439453125,-0.005821446325289248,D1,[],{}
2,2023-01-22,473.9200439453125,2023-01-29,473.2676696777344,-0.0013765492215674913,D1,[],{}
3,2023-01-29,473.2676696777344,2023-02-05,459.60662841796875,-0.02886535915091759,D3,[],{}
4,2023-02-05,459.60662841796875,2023-02-12,481.2520446777344,0.04709552674266737,U5,[],{}
5,2023-02-12,481.2520446777344,2023-02-19,485.95501708984375,0.009772368687303246,U1,[],{}
6,2023-02-19,485.95501708984375,2023-02-26,471.5928955078125,-0.029554425979670396,D3,[],{}
7,2023-02-26,471.5928955078125,2023-03-05,465.97467041015625,-0.01191329460467494,D2,[],{}
8,2023-03-05,465.97467041015625,2023-03-12,449.82049560546875,-0.034667495532468395,D4,[],{}
9,2023-03-12,449.82049560546875,2023-03-19,458.7811584472656,0.01992053036564201,U2,[],{}
10,2023-03-19,458.7811584472656,2023-03-26,465.1230163574219,0.01382327454688892,U2,[],{}
11,2023-03-26,465.1230163574219,2023-04-02,461.8005676269531,-0.007143161300613099,D1,[],"{""bookValue"": 81312, ""cashRatio"": 1.0534345389197477, ""currentRatio"": 0.5315, ""ev"": 469528.97, ""fcfPerShareTTM"": 36.7028, ""longtermDebtTotalAsset"": 0.2138, ""longtermDebtTotalCapital"": 0.3993, ""longtermDebtTotalEquity"": 0.746, ""netDebtToTotalCapital"": 0.1888, ""netDebtToTotalEquity"": 0.3527, ""payoutRatioTTM"": 0.2978, ""pb"": 5.4218, ""peTTM"": 21.2932, ""pfcfTTM"": 11.131, ""ptbv"": 6.7671, ""quickRatio"": 0.3694, ""roaTTM"": 0.0826, ""roeTTM"": 0.2702, ""roicTTM"": 0.1548, ""rotcTTM"": 0.2212, ""tangibleBookValue"": 65147, ""totalDebtToEquity"": 0.8681, ""totalDebtToTotalAsset"": 0.2488, ""totalDebtToTotalCapital"": 0.4647, ""totalRatio"": 1.4018, ""period"": ""2023-03-31""}"
12,2023-04-02,461.8005676269531,2023-04-09,501.10235595703125,0.0851055435727106,U5+,[],"{""bookValue"": 81312, ""cashRatio"": 1.0534345389197477, ""currentRatio"": 0.5315, ""ev"": 469528.97, ""fcfPerShareTTM"": 36.7028, ""longtermDebtTotalAsset"": 0.2138, ""longtermDebtTotalCapital"": 0.3993, ""longtermDebtTotalEquity"": 0.746, ""netDebtToTotalCapital"": 0.1888, ""netDebtToTotalEquity"": 0.3527, ""payoutRatioTTM"": 0.2978, ""pb"": 5.4218, ""peTTM"": 21.2932, ""pfcfTTM"": 11.131, ""ptbv"": 6.7671, ""quickRatio"": 0.3694, ""roaTTM"": 0.0826, ""roeTTM"": 0.2702, ""roicTTM"": 0.1548, ""rotcTTM"": 0.2212, ""tangibleBookValue"": 65147, ""totalDebtToEquity"": 0.8681, ""totalDebtToTotalAsset"": 0.2488, ""totalDebtToTotalCapital"": 0.4647, ""totalRatio"": 1.4018, ""period"": ""2023-03-31""}"
13,2023-04-09,501.10235595703125,2023-04-16,500.1056213378906,-0.0019890838813499956,D1,[],"{""bookValue"": 81312, ""cashRatio"": 1.0534345389197477, ""currentRatio"": 0.5315, ""ev"": 469528.97, ""fcfPerShareTTM"": 36.7028, ""longtermDebtTotalAsset"": 0.2138, ""longtermDebtTotalCapital"": 0.3993, ""longtermDebtTotalEquity"": 0.746, ""netDebtToTotalCapital"": 0.1888, ""netDebtToTotalEquity"": 0.3527, ""payoutRatioTTM"": 0.2978, ""pb"": 5.4218, ""peTTM"": 21.2932, ""pfcfTTM"": 11.131, ""ptbv"": 6.7671, ""quickRatio"": 0.3694, ""roaTTM"": 0.0826, ""roeTTM"": 0.2702, ""roicTTM"": 0.1548, ""rotcTTM"": 0.2212, ""tangibleBookValue"": 65147, ""totalDebtToEquity"": 0.8681, ""totalDebtToTotalAsset"": 0.2488, ""totalDebtToTotalCapital"": 0.4647, ""totalRatio"": 1.4018, ""period"": ""2023-03-31""}"
14,2023-04-16,500.1056213378906,2023-04-23,472.77423095703125,-0.054651236088372634,D5+,[],{}
15,2023-04-23,472.77423095703125,2023-04-30,480.8554382324219,0.01709316359953017,U2,[],{}
16,2023-04-30,480.8554382324219,2023-05-07,482.9954528808594,0.0044504324549266006,U1,[],{}
17,2023-05-07,482.9954528808594,2023-05-14,480.01507568359375,-0.006170611295590822,D1,[],{}
18,2023-05-14,480.01507568359375,2023-05-21,467.8883972167969,-0.025263120016651874,D3,[],{}
19,2023-05-21,467.8883972167969,2023-05-28,470.5267333984375,0.005638815147660514,U1,[],{}
20,2023-05-28,470.5267333984375,2023-06-04,488.17437744140625,0.03750614532676266,U4,[],{}
21,2023-06-04,488.17437744140625,2023-06-11,482.3504638671875,-0.011929986175724161,D2,[],{}
22,2023-06-11,482.3504638671875,2023-06-18,449.8616638183594,-0.06735517529796287,D5+,[],{}
23,2023-06-18,449.8616638183594,2023-06-25,468.0233459472656,0.040371704436320544,U5,[],{}
